tmdbId,genres
351286,"Action, Adventure, Science Fiction, Thriller"
119450,"Science Fiction, Action, Drama, Thriller"
207,Drama
562,"Action, Thriller"
771,"Comedy, Family"
604,"Adventure, Action, Thriller, Science Fiction"
953,"Family, Animation, Adventure, Comedy"
242582,"Crime, Drama, Thriller"
75612,"Action, Science Fiction, Adventure, Mystery"
310,"Fantasy, Comedy"
168259,"Action, Thriller, Crime"
211672,"Family, Animation, Adventure, Comedy"
62211,"Animation, Family"
51876,"Thriller, Mystery, Science Fiction"
84892,Drama
8844,"Adventure, Fantasy, Family"
76600,"Science Fiction, Adventure, Action"
2080,"Adventure, Action, Thriller, Science Fiction"
45243,Comedy
337339,"Action, Crime, Thriller"
458156,"Action, Thriller, Crime"
196,"Adventure, Comedy, Science Fiction"
294254,"Science Fiction, Action, Thriller, Adventure"
495764,"Action, Crime"
510,Drama
64688,"Action, Comedy, Crime"
59967,"Action, Thriller, Science Fiction"
629,"Drama, Crime, Thriller"
1949,"Crime, Drama, Mystery, Thriller"
578,"Horror, Thriller, Adventure"
453,"Drama, Romance"
508442,"Animation, Family, Comedy, Fantasy, Drama"
420817,"Adventure, Fantasy, Romance, Family"
438631,"Science Fiction, Adventure"
36658,"Adventure, Action, Science Fiction"
854,"Romance, Comedy, Crime, Fantasy"
19913,"Comedy, Drama, Romance"
197,"Action, Drama, History, War"
420818,"Adventure, Drama, Family"
13475,"Science Fiction, Action, Adventure"
89,"Adventure, Action"
497698,"Action, Adventure, Science Fiction"
539,"Horror, Drama, Thriller"
10020,"Romance, Family, Animation, Fantasy"
608,"Action, Adventure, Comedy, Science Fiction"
405774,"Horror, Thriller, Drama"
56292,"Action, Thriller, Adventure"
791373,"Action, Adventure, Fantasy"
580489,"Science Fiction, Action, Adventure"
641,"Crime, Drama"
1402,Drama
605,"Adventure, Action, Thriller, Science Fiction"
301528,"Family, Adventure, Animation, Comedy, Fantasy"
950,"Animation, Family, Comedy, Adventure"
399566,"Action, Science Fiction, Thriller"
330457,"Family, Animation, Adventure, Comedy, Fantasy"
181812,"Adventure, Action, Science Fiction"
5915,"Adventure, Drama"
36668,"Adventure, Action, Science Fiction, Thriller"
76170,"Action, Science Fiction, Adventure, Fantasy"
381284,"Drama, History"
8960,"Fantasy, Action"
82702,"Fantasy, Action, Adventure, Animation, Comedy, Family"
10674,"Animation, Family, Adventure"
602,"Action, Adventure, Science Fiction"
316029,Drama
287947,"Action, Comedy, Fantasy"
679,"Action, Thriller, Science Fiction"
772,"Comedy, Family, Adventure"
591,"Thriller, Mystery"
18239,"Adventure, Fantasy, Drama, Romance"
568124,"Animation, Comedy, Family, Fantasy"
9741,"Thriller, Drama, Mystery"
54138,"Action, Adventure, Science Fiction"
414906,"Crime, Mystery, Thriller"
9487,"Adventure, Animation, Comedy, Family"
87,"Adventure, Action"
13183,"Action, Mystery, Science Fiction"
9479,"Fantasy, Animation, Family"
566525,"Action, Adventure, Fantasy"
399579,"Action, Science Fiction, Adventure"
124905,"Action, Drama, Science Fiction"
50620,"Adventure, Fantasy, Drama, Romance"
564,"Adventure, Action, Fantasy"
176,"Horror, Mystery, Crime"
318846,"Comedy, Drama"
